Id,Unit,Pack section,Old front,New front,Old difficulty,New difficulty,Old choices,New choices
card-134-7c-muscles-and-bones-which-statement-best-describes-respirat,7C Muscles and bones,7Cc,Which statement describes what happens during human respiration?,A pupil says breathing and respiration mean the same thing. Which correction is best?,2,4,Cells release energy from glucose using oxygen. | Air moves in and out of the lungs. | The heart pumps blood around the body. | Bones protect organs.,Breathing moves air in and out of the lungs; respiration releases energy in cells. | Breathing releases energy in cells; respiration moves air into the lungs. | Both words mean oxygen moving from the lungs into the blood. | Both words mean the heart pumping blood around the body.
card-135-7c-muscles-and-bones-what-is-the-main-job-of-red-blood-cells,7C Muscles and bones,7Cb,How is oxygen mainly carried around the body by the blood?,A blood sample carries oxygen from the lungs to the muscles. Which part of the blood carries most of that oxygen?,2,3,Carry oxygen. | Fight micro-organisms. | Make blood clot. | Digest food.,Red blood cells. | Plasma. | White blood cells. | Platelets.
card-136-7c-muscles-and-bones-which-blood-vessel-carries-blood-away-f,7C Muscles and bones,7Cc,Which blood vessel carries blood away from the heart?,A vessel has thick muscular walls and carries blood away from the heart under high pressure. What type of vessel is it?,2,4,Artery. | Vein. | Capillary. | Ligament.,Artery. | Vein. | Capillary. | Tendon.
card-137-7c-muscles-and-bones-where-does-gas-exchange-happen,7C Muscles and bones,7Cd,Where does gas exchange happen in humans?,Which description correctly shows gas exchange in the lungs?,2,4,"In the lungs, where oxygen enters blood and carbon dioxide leaves blood. | In the stomach, where food is broken down. | In bones, where blood cells are made. | In tendons, where muscles attach to bones.",Oxygen moves from air spaces into blood; carbon dioxide moves from blood into air spaces. | Oxygen moves from blood into air spaces; carbon dioxide moves from air spaces into blood. | Both oxygen and carbon dioxide move from blood into air spaces. | Both oxygen and carbon dioxide are made inside the air spaces.
card-138-7c-muscles-and-bones-what-happens-to-the-diaphragm-when-you-,7C Muscles and bones,7Cd,"When you inhale, what happens to the diaphragm?","During inhalation, which set of changes helps air enter the lungs?",3,4,It contracts and moves down. | It relaxes and moves up. | It turns oxygen into carbon dioxide. | It pumps blood to the lungs.,Diaphragm contracts and moves down; rib muscles lift the ribs. | Diaphragm relaxes and moves up; rib muscles lower the ribs. | Diaphragm contracts and moves up; rib muscles lower the ribs. | Diaphragm relaxes and moves down; rib muscles lift the ribs.
card-139-7c-muscles-and-bones-what-is-ventilation,7C Muscles and bones,7Cd,Which statement best describes ventilation?,Which statement separates ventilation from respiration most accurately?,2,4,Air moving into and out of the lungs. | Energy release in cells. | Blood moving through arteries. | Muscles pulling on bones.,Ventilation is air movement; respiration is energy release in cells. | Ventilation releases energy; respiration moves air. | Ventilation is only gas exchange in blood; respiration is only breathing out. | Ventilation and respiration are identical processes.
card-140-7c-muscles-and-bones-which-part-of-the-skeleton-protects-the,7C Muscles and bones,7Cc,Which part of the skeleton protects the brain?,Which statement gives the function of the skull in the skeleton?,2,3,Skull. | Ribs. | Vertebrae. | Cartilage.,It protects the brain. | It pumps blood to the brain. | It makes impulses for the nervous system. | It joins muscles to bones.
card-141-7c-muscles-and-bones-which-bones-help-protect-the-heart-and-,7C Muscles and bones,7Cd,Which bones protect the heart and lungs?,Which statement gives the function of the rib cage?,2,3,Ribs and sternum. | Skull and jaw. | Femur and tibia. | Biceps and triceps.,It helps protect the heart and lungs while still allowing breathing movements. | It protects only the stomach and cannot move. | It makes blood cells and controls impulses. | It joins the upper arm bone to the shoulder.
card-142-7c-muscles-and-bones-what-is-a-joint,7C Muscles and bones,7Ce,Which statement best describes a joint?,"In a moving joint, which statement describes the joint itself?",2,3,A place where two or more bones meet. | A blood vessel where gas exchange happens. | A muscle that contracts. | A drug that slows nerve messages.,A place where two or more bones meet. | A cord that joins muscle to bone. | A smooth layer that reduces rubbing at bone ends. | A muscle pair that pulls bones in opposite directions.
card-143-7c-muscles-and-bones-what-does-cartilage-do-at-the-ends-of-b,7C Muscles and bones,7Cd,What is the function of cartilage at the ends of bones?,Why is cartilage important at the ends of bones in a joint?,2,3,Reduces rubbing and helps bones move smoothly. | Connects muscle to bone. | Carries oxygen. | Makes acid neutral.,It reduces friction and helps the bones move smoothly. | It contracts to bend the joint. | It carries oxygen to the joint. | It sends impulses from the brain.
