Unit,Type,Visual,Before front,After front,Before back,After back,Before choices,After choices,Before difficulty,After difficulty
7J Current electricity,Multiple choice,,What is current?,A lamp is lit in a complete circuit. Which statement best describes the current in the wires?,The flow of electricity or charges around a circuit.,Charges flow around the complete circuit.,The flow of electricity or charges around a circuit. | The push from a cell. | A material that blocks electricity. | A branch in a parallel circuit.,"Charges flow around the complete circuit.|Voltage is used up by the first bulb.|Resistance flows from the cell.|Only energy, not charges, moves through the wires.",3,4
7J Current electricity,Multiple choice,,What unit is used for current?,An ammeter reading is written as 0.35 __. Which unit completes the reading?,Ampere or amp (A).,A,Ampere or amp (A). | Volt (V). | Ohm only. | pH.,A|V|Ω|J,4,3
7J Current electricity,Multiple choice,,How should an ammeter be connected?,A student wants to measure the current through a bulb. Where should the ammeter be connected?,In series with the component.,"In series with the bulb, so the same current passes through the ammeter and the bulb.",In series with the component. | In parallel across the component. | Outside the circuit. | Only across the cell.,"In series with the bulb, so the same current passes through the ammeter and the bulb.|In parallel across the bulb, so it measures the energy transferred.|Across the cell only, because all current starts at the cell.|Next to the circuit but not connected, because it senses current.",4,4
7J Current electricity,Multiple choice,,What is voltage?,A cell has a larger voltage than another cell. What does that mean for the charges in the circuit?,A measure of energy transferred by electricity; the push from the source.,More energy is transferred to the charges by the cell.,A measure of energy transferred by electricity; the push from the source. | The number of branches in a circuit. | The resistance of plastic. | The unit of current.,More energy is transferred to the charges by the cell.|The current must be smaller everywhere.|The wires become better insulators.|The circuit automatically becomes parallel.,3,4
7J Current electricity,Multiple choice,,How should a voltmeter be connected?,A student wants to measure the voltage across a lamp. Where should the voltmeter be connected?,In parallel across the component.,In parallel across the lamp.,In parallel across the component. | In series with the component. | Inside the cell. | Only next to a fuse.,In parallel across the lamp.|In series before the lamp.|In series after the lamp.|In place of the cell.,4,4
7J Current electricity,Multiple choice,,What does a cell do in a circuit?,"A simple circuit has a cell, wires and a bulb. What is the main role of the cell?",Provides electrical energy.,It transfers energy to the charges and pushes them around the circuit.,Provides electrical energy. | Measures current. | Increases rubbing between bones. | Neutralises acid.,It transfers energy to the charges and pushes them around the circuit.|It measures how much current is flowing.|It increases resistance so no current flows.|It turns the wires into insulators.,2,3
7J Current electricity,Multiple choice,,What does a switch do?,A switch is open in a simple lamp circuit. Which explanation is correct?,Opens or closes a circuit.,"There is a gap in the circuit, so current cannot flow through the lamp.",Opens or closes a circuit. | Measures voltage. | Carries oxygen. | Shows pH.,"There is a gap in the circuit, so current cannot flow through the lamp.|The cell has no voltage until the switch is removed.|The current flows only through the air gap.|The bulb is brighter because resistance is lower.",2,4
7J Current electricity,Multiple choice,,What is a conductor?,Which material would be most suitable for the wires in a school circuit?,A material that allows electricity to flow.,"A metal, because it allows electric charge to flow easily.",A material that allows electricity to flow. | A material that blocks electricity. | A solution with pH more than 7. | A bone connection tissue.,"A metal, because it allows electric charge to flow easily.|Plastic, because it lets current pass with no resistance.|Rubber, because it stores current safely.|Wood, because it gives charges more energy.",2,3
7J Current electricity,Multiple choice,,What is an insulator?,Why is the outside of many electrical cables made from plastic?,A material that does not allow electricity to flow easily.,"Plastic is an insulator, so it reduces the chance of current passing through a person touching it.",A material that does not allow electricity to flow easily. | A material that lets electricity flow easily. | A device that measures current. | A component that produces light.,"Plastic is an insulator, so it reduces the chance of current passing through a person touching it.|Plastic is a conductor, so it carries current faster than metal.|Plastic increases voltage so the circuit works better.|Plastic makes the circuit parallel.",2,4
7J Current electricity,Multiple choice,,What is resistance?,A wire has high resistance. What does this tell you about current in that wire?,How difficult it is for current to flow.,It is more difficult for current to flow through the wire.,How difficult it is for current to flow. | The flow of charges. | The unit of voltage. | A gas exchange surface.,It is more difficult for current to flow through the wire.|Charges have more paths to choose from.|The voltage is always zero.|The wire must be a voltmeter.,4,4
