Id,Unit,Pack section,Source focus,Type,Front,Back,Extra cue,Choices,Visual,Difficulty
card-001-7c-muscles-and-bones-respiration,7C Muscles and bones,7Ca,"7Ca · Organs, breathing and gas exchange · Key terminology",Vocabulary,Respiration,The process cells use to release energy from food. Oxygen and glucose are used; carbon dioxide and water are made.,Do not confuse with breathing. Breathing gets oxygen in; respiration releases energy in cells.,,,2
card-002-7c-muscles-and-bones-gas-exchange,7C Muscles and bones,7Cb,"7Cb · Circulation, pulse and blood · Key terminology",Vocabulary,Gas exchange,The swap of gases in the lungs: oxygen moves into the blood and carbon dioxide moves out of the blood.,"Happens in the lungs, then blood carries gases around the body.",,,2
card-003-7c-muscles-and-bones-breathing,7C Muscles and bones,7Cd,"7Cd · Muscles, movement and nervous control · Key terminology",Vocabulary,Breathing,The muscle movement that makes the lungs expand and contract.,Breathing is the movement; ventilation is the movement of air.,,,2
card-004-7c-muscles-and-bones-ventilation,7C Muscles and bones,7Ca,"7Ca · Organs, breathing and gas exchange · Key terminology",Vocabulary,Ventilation,Air moving into and out of the lungs.,Inhalation + exhalation together.,,,2
card-005-7c-muscles-and-bones-inhalation,7C Muscles and bones,7Cd,"7Cd · Muscles, movement and nervous control · Key terminology",Vocabulary,Inhalation,Breathing in.,Diaphragm contracts and moves down; rib muscles help increase chest volume.,,,2
card-006-7c-muscles-and-bones-exhalation,7C Muscles and bones,7Cd,"7Cd · Muscles, movement and nervous control · Key terminology",Vocabulary,Exhalation,Breathing out.,Chest volume decreases; air is forced out.,,,1
card-007-7c-muscles-and-bones-diaphragm,7C Muscles and bones,7Cd,"7Cd · Muscles, movement and nervous control · Key terminology",Vocabulary,Diaphragm,A sheet of muscle below the lungs that helps change the volume of the chest.,Contracts and moves down during inhalation.,,,2
card-008-7c-muscles-and-bones-intercostal-muscles,7C Muscles and bones,7Cd,"7Cd · Muscles, movement and nervous control · Key terminology",Vocabulary,Intercostal muscles,Muscles between the ribs that move the rib cage during breathing.,Used with the diaphragm.,,,2
card-009-7c-muscles-and-bones-oxygen,7C Muscles and bones,7Cb,"7Cb · Circulation, pulse and blood · Key terminology",Vocabulary,Oxygen,Gas needed for respiration.,Carried mainly by red blood cells.,,,2
card-010-7c-muscles-and-bones-carbon-dioxide,7C Muscles and bones,7Cb,"7Cb · Circulation, pulse and blood · Key terminology",Vocabulary,Carbon dioxide,Waste gas made by respiration.,Removed from blood at the lungs and exhaled.,,,2
card-011-7c-muscles-and-bones-circulatory-system,7C Muscles and bones,7Cb,"7Cb · Circulation, pulse and blood · Key terminology",Vocabulary,Circulatory system,"The heart, blood and blood vessels that transport materials around the body.","Carries oxygen, nutrients and waste products.",,,1
card-012-7c-muscles-and-bones-heart,7C Muscles and bones,7Cb,"7Cb · Circulation, pulse and blood · Key terminology",Vocabulary,Heart,The organ that pumps blood around the body.,Pulse is caused by the heart pumping blood into arteries.,,,1
card-013-7c-muscles-and-bones-artery,7C Muscles and bones,7Cb,"7Cb · Circulation, pulse and blood · Key terminology",Vocabulary,Artery,Blood vessel that carries blood away from the heart.,Usually has thick walls and a pulse.,,,1
