Unit,Type,Front,Correct answer,Old normal-risk pool rule,Old boss-risk pool rule,New primary pool rule,New primary pool size,New example distractors
7C Muscles and bones,Vocabulary,Respiration,The process cells use to release energy from food. Oxygen and glucose are used; carbon dioxide and water are made.,same unit OR same type,all cards,same unit AND same type,56,The swap of gases in the lungs: oxygen moves into the blood and carbon dioxide moves out of the blood. | The muscle movement that makes the lungs expand and contract. | Air moving into and out of the lungs.
7C Muscles and bones,Vocabulary,Gas exchange,The swap of gases in the lungs: oxygen moves into the blood and carbon dioxide moves out of the blood.,same unit OR same type,all cards,same unit AND same type,56,The process cells use to release energy from food. Oxygen and glucose are used; carbon dioxide and water are made. | The muscle movement that makes the lungs expand and contract. | Air moving into and out of the lungs.
7C Muscles and bones,Vocabulary,Breathing,The muscle movement that makes the lungs expand and contract.,same unit OR same type,all cards,same unit AND same type,56,The process cells use to release energy from food. Oxygen and glucose are used; carbon dioxide and water are made. | The swap of gases in the lungs: oxygen moves into the blood and carbon dioxide moves out of the blood. | Air moving into and out of the lungs.
7C Muscles and bones,Vocabulary,Ventilation,Air moving into and out of the lungs.,same unit OR same type,all cards,same unit AND same type,56,The process cells use to release energy from food. Oxygen and glucose are used; carbon dioxide and water are made. | The swap of gases in the lungs: oxygen moves into the blood and carbon dioxide moves out of the blood. | The muscle movement that makes the lungs expand and contract.
7C Muscles and bones,Vocabulary,Inhalation,Breathing in.,same unit OR same type,all cards,same unit AND same type,56,The process cells use to release energy from food. Oxygen and glucose are used; carbon dioxide and water are made. | The swap of gases in the lungs: oxygen moves into the blood and carbon dioxide moves out of the blood. | The muscle movement that makes the lungs expand and contract.
7C Muscles and bones,Vocabulary,Exhalation,Breathing out.,same unit OR same type,all cards,same unit AND same type,56,The process cells use to release energy from food. Oxygen and glucose are used; carbon dioxide and water are made. | The swap of gases in the lungs: oxygen moves into the blood and carbon dioxide moves out of the blood. | The muscle movement that makes the lungs expand and contract.
7C Muscles and bones,Vocabulary,Diaphragm,A sheet of muscle below the lungs that helps change the volume of the chest.,same unit OR same type,all cards,same unit AND same type,56,The process cells use to release energy from food. Oxygen and glucose are used; carbon dioxide and water are made. | The swap of gases in the lungs: oxygen moves into the blood and carbon dioxide moves out of the blood. | The muscle movement that makes the lungs expand and contract.
7C Muscles and bones,Vocabulary,Intercostal muscles,Muscles between the ribs that move the rib cage during breathing.,same unit OR same type,all cards,same unit AND same type,56,The process cells use to release energy from food. Oxygen and glucose are used; carbon dioxide and water are made. | The swap of gases in the lungs: oxygen moves into the blood and carbon dioxide moves out of the blood. | The muscle movement that makes the lungs expand and contract.
7C Muscles and bones,Vocabulary,Oxygen,Gas needed for respiration.,same unit OR same type,all cards,same unit AND same type,56,The process cells use to release energy from food. Oxygen and glucose are used; carbon dioxide and water are made. | The swap of gases in the lungs: oxygen moves into the blood and carbon dioxide moves out of the blood. | The muscle movement that makes the lungs expand and contract.
7C Muscles and bones,Vocabulary,Carbon dioxide,Waste gas made by respiration.,same unit OR same type,all cards,same unit AND same type,56,The process cells use to release energy from food. Oxygen and glucose are used; carbon dioxide and water are made. | The swap of gases in the lungs: oxygen moves into the blood and carbon dioxide moves out of the blood. | The muscle movement that makes the lungs expand and contract.
7C Muscles and bones,Vocabulary,Circulatory system,"The heart, blood and blood vessels that transport materials around the body.",same unit OR same type,all cards,same unit AND same type,56,The process cells use to release energy from food. Oxygen and glucose are used; carbon dioxide and water are made. | The swap of gases in the lungs: oxygen moves into the blood and carbon dioxide moves out of the blood. | The muscle movement that makes the lungs expand and contract.
7C Muscles and bones,Vocabulary,Heart,The organ that pumps blood around the body.,same unit OR same type,all cards,same unit AND same type,56,The process cells use to release energy from food. Oxygen and glucose are used; carbon dioxide and water are made. | The swap of gases in the lungs: oxygen moves into the blood and carbon dioxide moves out of the blood. | The muscle movement that makes the lungs expand and contract.
7C Muscles and bones,Vocabulary,Artery,Blood vessel that carries blood away from the heart.,same unit OR same type,all cards,same unit AND same type,56,The process cells use to release energy from food. Oxygen and glucose are used; carbon dioxide and water are made. | The swap of gases in the lungs: oxygen moves into the blood and carbon dioxide moves out of the blood. | The muscle movement that makes the lungs expand and contract.
7C Muscles and bones,Vocabulary,Vein,Blood vessel that carries blood back towards the heart.,same unit OR same type,all cards,same unit AND same type,56,The process cells use to release energy from food. Oxygen and glucose are used; carbon dioxide and water are made. | The swap of gases in the lungs: oxygen moves into the blood and carbon dioxide moves out of the blood. | The muscle movement that makes the lungs expand and contract.
7C Muscles and bones,Vocabulary,Capillary,"Tiny, thin-walled blood vessel where substances move between blood and body cells.",same unit OR same type,all cards,same unit AND same type,56,The process cells use to release energy from food. Oxygen and glucose are used; carbon dioxide and water are made. | The swap of gases in the lungs: oxygen moves into the blood and carbon dioxide moves out of the blood. | The muscle movement that makes the lungs expand and contract.
7C Muscles and bones,Vocabulary,Plasma,Liquid part of the blood.,same unit OR same type,all cards,same unit AND same type,56,The process cells use to release energy from food. Oxygen and glucose are used; carbon dioxide and water are made. | The swap of gases in the lungs: oxygen moves into the blood and carbon dioxide moves out of the blood. | The muscle movement that makes the lungs expand and contract.
7C Muscles and bones,Vocabulary,Red blood cell,Blood cell that carries oxygen using haemoglobin.,same unit OR same type,all cards,same unit AND same type,56,The process cells use to release energy from food. Oxygen and glucose are used; carbon dioxide and water are made. | The swap of gases in the lungs: oxygen moves into the blood and carbon dioxide moves out of the blood. | The muscle movement that makes the lungs expand and contract.
7C Muscles and bones,Vocabulary,White blood cell,Blood cell that helps fight micro-organisms.,same unit OR same type,all cards,same unit AND same type,56,The process cells use to release energy from food. Oxygen and glucose are used; carbon dioxide and water are made. | The swap of gases in the lungs: oxygen moves into the blood and carbon dioxide moves out of the blood. | The muscle movement that makes the lungs expand and contract.
7C Muscles and bones,Vocabulary,Bone marrow,Tissue inside some bones where blood cells are made.,same unit OR same type,all cards,same unit AND same type,56,The process cells use to release energy from food. Oxygen and glucose are used; carbon dioxide and water are made. | The swap of gases in the lungs: oxygen moves into the blood and carbon dioxide moves out of the blood. | The muscle movement that makes the lungs expand and contract.
7C Muscles and bones,Vocabulary,Skeleton,The framework of bones that supports and protects the body and helps movement.,same unit OR same type,all cards,same unit AND same type,56,The process cells use to release energy from food. Oxygen and glucose are used; carbon dioxide and water are made. | The swap of gases in the lungs: oxygen moves into the blood and carbon dioxide moves out of the blood. | The muscle movement that makes the lungs expand and contract.
7J Current electricity,Vocabulary,Ammeter,Instrument that measures current.,same unit OR same type,all cards,same unit AND same type,39,"A way of transferring energy through wires by moving charges. | Tiny charged particles, such as electrons, can move around a circuit. | Flow of electricity/charges around a circuit."
7J Current electricity,Vocabulary,Conductor,Material that allows electricity to flow through it.,same unit OR same type,all cards,same unit AND same type,39,"A way of transferring energy through wires by moving charges. | Tiny charged particles, such as electrons, can move around a circuit. | Flow of electricity/charges around a circuit."
7J Current electricity,Vocabulary,Resistance,How difficult it is for current to flow.,same unit OR same type,all cards,same unit AND same type,39,"A way of transferring energy through wires by moving charges. | Tiny charged particles, such as electrons, can move around a circuit. | Flow of electricity/charges around a circuit."
7J Current electricity,Vocabulary,Series circuit,Circuit with one loop/path.,same unit OR same type,all cards,same unit AND same type,39,"A way of transferring energy through wires by moving charges. | Tiny charged particles, such as electrons, can move around a circuit. | Flow of electricity/charges around a circuit."
7J Current electricity,Vocabulary,Parallel circuit,Circuit with branches.,same unit OR same type,all cards,same unit AND same type,39,"A way of transferring energy through wires by moving charges. | Tiny charged particles, such as electrons, can move around a circuit. | Flow of electricity/charges around a circuit."
