Id,Unit,Type,Pack section,Before,After
card-043-7c-muscles-and-bones-respiration-word-equation,7C Muscles and bones,Equation/relationship,7Ca,Respiration word equation,Complete the word equation for respiration.
card-044-7c-muscles-and-bones-breathing-rate,7C Muscles and bones,Equation/relationship,7Ca,Breathing rate,State how to calculate breathing rate.
card-045-7c-muscles-and-bones-pulse-rate,7C Muscles and bones,Equation/relationship,7Cb,Pulse rate,State how to calculate pulse rate.
card-046-7c-muscles-and-bones-gas-exchange-direction,7C Muscles and bones,Equation/relationship,7Cb,Gas exchange direction,Describe the direction of gas exchange in the lungs.
card-047-7c-muscles-and-bones-pressure-relationship,7C Muscles and bones,Equation/relationship,7Cd,Pressure relationship,"State the relationship between pressure, force and area."
card-048-7c-muscles-and-bones-what-is-the-difference-between-breathin,7C Muscles and bones,Self-test,7Ca,What is the difference between breathing and respiration?,Describe the difference between breathing and respiration?
card-049-7c-muscles-and-bones-why-do-muscles-need-oxygen-and-nutrient,7C Muscles and bones,Self-test,7Cd,Why do muscles need oxygen and nutrients?,Explain why muscles need oxygen and nutrients.
card-050-7c-muscles-and-bones-why-are-antagonistic-pairs-needed,7C Muscles and bones,Self-test,7Cd,Why are antagonistic pairs needed?,Explain are antagonistic pairs needed?
card-086-7f-acids-and-alkalis-what-is-the-difference-between-a-hazard,7F Acids and alkalis,Self-test,7Fa,What is the difference between a hazard and a risk?,Describe the difference between a hazard and a risk?
card-088-7f-acids-and-alkalis-what-are-the-products-of-neutralisation,7F Acids and alkalis,Self-test,7Fd,What are the products of neutralisation?,State the products of neutralisation?
card-134-7c-muscles-and-bones-which-statement-best-describes-respirat,7C Muscles and bones,Multiple choice,7Cc,Which statement best describes respiration?,Which statement describes what happens during human respiration?
card-135-7c-muscles-and-bones-what-is-the-main-job-of-red-blood-cells,7C Muscles and bones,Multiple choice,7Cb,What is the main job of red blood cells?,How is oxygen mainly carried around the body by the blood?
card-137-7c-muscles-and-bones-where-does-gas-exchange-happen,7C Muscles and bones,Multiple choice,7Cd,Where does gas exchange happen?,Where does gas exchange happen in humans?
card-138-7c-muscles-and-bones-what-happens-to-the-diaphragm-when-you-,7C Muscles and bones,Multiple choice,7Cd,What happens to the diaphragm when you inhale?,"When you inhale, what happens to the diaphragm?"
card-139-7c-muscles-and-bones-what-is-ventilation,7C Muscles and bones,Multiple choice,7Cd,What is ventilation?,Which statement best describes ventilation?
card-141-7c-muscles-and-bones-which-bones-help-protect-the-heart-and-,7C Muscles and bones,Multiple choice,7Cd,Which bones help protect the heart and lungs?,Which bones protect the heart and lungs?
card-142-7c-muscles-and-bones-what-is-a-joint,7C Muscles and bones,Multiple choice,7Ce,What is a joint?,Which statement best describes a joint?
card-143-7c-muscles-and-bones-what-does-cartilage-do-at-the-ends-of-b,7C Muscles and bones,Multiple choice,7Cd,What does cartilage do at the ends of bones?,What is the function of cartilage at the ends of bones?
card-144-7c-muscles-and-bones-what-connects-bone-to-bone,7C Muscles and bones,Multiple choice,7Cc,What connects bone to bone?,What is the name of the tissue that joins bone to bone?
